,artist,title,year
1,王玉平,七零后,2010
2,王玉平,无题,1992
3,王玉平,春光,1997
4,王玉平,梦,1992
5,王玉平,梦2,1992
6,王玉平,风景,1997
7,王玉平,红脸和白脸,1992
8,王玉平,雾光,1991
9,王玉平,鱼系列,2000
10,王玉平,鱼系列2,1997
11,王玉平,我们俩,1992
12,王玉平,申玲肖像,1992
13,王玉平,平凡的生活,1993
14,王克举,五月桐花,2012
15,王克举,大别山谷底新土,2016
16,王克举,淅淅沥沥,2012
17,王克举,缅因小港,2015
18,王克举,缅因逆光的海湾,2015
19,王克举,太行雄壁嶂石岩,2017
20,王克举,梨花吟,2016
21,王克举,风景,2009
22,王克举,锦绣太行嶂石岩,2017
23,王克举,青山依崖嶂,2017
24,王克举,风景,2005
25,朝戈,村春,2005
26,朝戈,桌前人物,1994
27,朝戈,母亲湖,2005
28,朝戈,虹,2006
29,朝戈,干燥的草原,2003
30,朝戈,沉思,1993
31,朝戈,特日之乡,2009
32,朝戈,茶园,2009
33,朝戈,温暖的锡林郭勒,2008
34,朝戈,西部,1996
35,朝戈,远方的云,1998
36,周春芽,昔日藏人屋,1985
37,周春芽,桃花风景系列-江南,2015
38,周春芽,白百合,1998
39,周春芽,清花瓶与桃花,1998
40,周春芽,风中的百合,1999
41,周春芽,桃花,2011
42,周春芽,瓷瓶,1998
43,周春芽,红山石,1998
44,艾轩,也许天空仍然是蓝色,1998
45,艾轩,冻土带悄寂无声,2000
46,艾轩,又清又冷的空气,1990
47,艾轩,狗,2003
48,艾轩,秋天的高原,2005
49,艾轩,雪原伤的牧童,1987
50,艾轩,冷雨,1996
51,曾梵志,面具系列,1997
52,曾梵志,面具系列,1998
53,曾梵志,面具系列,2006
54,曾梵志,无题,2008
55,曾梵志,西瓜,1996
56,曾梵志,面具系列,1997
57,曾梵志,面具系列,2000
58,曾梵志,面具系列,1996
59,刘小东,田野,1999
60,刘小东,艺术家的母亲,2020
61,刘小东,车祸,2002
62,刘小东,胖娃,1996
63,刘小东,芳草,2003
64,刘小东,街头小子,2002
65,刘小东,1841年的火,2012
66,刘小东,纽约暴雨,1993
67,刘小东,火车,2002
68,刘小东,两个工人,2010
69,刘小东,焚烧垃圾,1998
70,闫平,三亚湾海风,2006
71,闫平,仲夏回忆,2001
72,闫平,唱戏的人,2003
73,闫平,母与子,2003
74,闫平,白菜地,2004
75,闫平,自画像,2001
76,闫平,蓝桌子上的黄柠檬,2012
77,闫平,陕北风景,2011
78,闫平,倒影,2000
79,闫平,思念的芬芳,2004
80,闫平,湖边的小船,2009
81,何多苓,女肖像,1978
82,何多苓,无题,2011
83,何多苓,连环画插图7,1986
84,何多苓,连环画插图15,1986
85,何多苓,连环画插图25,1986
86,何多苓,连环画插图31,1986
87,何多苓,连环画插图35,1986
88,何多苓,飞行的婴儿,2007
89,何多苓,青春,2008
90,何多苓,连环画插图37,1986
91,何多苓,雪雁,1983
92,何多苓,连环画插图10,1986
93,陈丹青,四个男人,2010
94,陈丹青,坐在沿街的藏人,1985
95,陈丹青,戴满头饰的姑娘,1987
96,陈丹青,戴红头巾的男子,1987
97,陈丹青,晴日的拉萨小街,1985
98,陈丹青,早晨微风,1987
99,陈丹青,西藏风景,1982
100,陈丹青,梳妆,1985
101,陈丹青,牧民,1986
102,赵刚,秋日承载佛手柑,2017
103,赵刚,混蛋一箩筐,2016
104,赵刚,资本,2018
105,赵刚,爱,2022
106,赵刚,无题,2009
107,赵刚,未知回廊,2015
108,赵刚,无题,2015
109,赵刚,无题,1978
110,赵刚,无题,2020
111,赵刚,无题,2007
112,赵刚,无题,2006
113,赵刚,夜,1988
114,喻红,自画像,1989
115,喻红,烈日当空,1991
116,喻红,黄昏,1991
117,喻红,玩具鲨鱼,1999
118,喻红,玩具娃娃,1999
119,喻红,一朵花,2000
120,喻红,孩子的成长,2000
121,喻红,玩具青蛙,1999
122,喻红,城市边缘,2019
123,喻红,流明,2019
124,喻红,派对相聚,2003
125,张恩利,一卷电线,2012
126,张恩利,一个袋子,2011
127,张恩利,平凡之物,2012
128,张恩利,属虎的人,2021
129,张恩利,曲线,2015
130,张恩利,水果盘,2009
131,张恩利,空篮子,2011
132,张恩利,花园,2005
133,张恩利,花园2,2005
134,张恩利,玻璃,"2002, 2004"
135,张恩利,马赛克图案地板,2011
136,张恩利,剥离马赛克,2011
137,张恩利,书架,2011
138,张恩利,肥皂剧,2004
139,张恩利,束缚,2015
140,张恩利,标间,2009
141,张恩利,空橱柜,2012
142,张恩利,加热,2012
143,张恩利,剩余颜料,2011
144,张恩利,植树者,2023
145,张恩利,两个灯泡,2012
146,李自健,春天,2003
147,李自健,童话,1993
148,李自健,春,1993
149,李自健,湘女丹慧,1994
150,李自健,新衣,1993
151,李自健,夕阳,1993
152,李自健,寂静的山坳,1994
153,李自健,天地之间,1991
154,李自健,倔,2009
155,李自健,恋,2009
